date,weapon,age,gender,state
10/24/2016,gun,19,M,MO
10/25/2016,toy weapon,46,M,AR
10/25/2016,toy weapon,25,M,MD
10/25/2016,toy weapon,25,F,MD
10/25/2016,knife,37,M,CA
10/26/2016,gun,25,M,TX
10/26/2016,unarmed,36,M,OK
10/27/2016,gun,32,M,MT
10/27/2016,gun and knife,33,M,TX
10/27/2016,undetermined,24,M,GA
10/28/2016,gun,37,M,MN
10/28/2016,gun,38,M,CA
10/28/2016,knife,45,M,OH
10/30/2016,knife,31,M,MA
10/30/2016,vehicle,34,M,AZ
10/30/2016,gun,23,M,TX
10/30/2016,gun,38,M,OK
10/31/2016,vehicle,39,F,CA
10/31/2016,knife,55,M,CA
10/31/2016,gun,31,F,OH
11/1/2016,gun,76,M,NV
11/2/2016,gun,59,M,LA
11/2/2016,undetermined,40,M,UT
11/3/2016,gun,23,M,NC
11/3/2016,knife,64,M,PA
11/3/2016,gun,56,F,GA
11/4/2016,undetermined,26,M,CA
11/4/2016,gun,35,M,NY
11/5/2016,knife,49,M,FL
11/5/2016,vehicle,36,M,OK
11/5/2016,gun,56,M,WV
11/5/2016,gun,59,M,WA
11/5/2016,gun,34,M,TX
11/6/2016,undetermined,33,M,CA
11/6/2016,gun,43,M,SC
11/6/2016,vehicle,43,M,KY
11/6/2016,metal pipe,31,M,NJ
11/6/2016,vehicle,17,M,AL
11/6/2016,hammer,32,M,WV
11/7/2016,gun,31,M,PA
11/8/2016,unarmed,19,M,KS
11/8/2016,gun,23,M,CO
11/8/2016,vehicle,26,M,OH
11/8/2016,gun,45,M,CA
11/9/2016,gun,36,M,AZ
11/10/2016,gun,41,M,TX
11/10/2016,gun,53,M,FL
11/11/2016,undetermined,37,M,GA
11/11/2016,vehicle,24,M,CO
11/11/2016,gun,37,M,ID
11/11/2016,gun,47,M,CO
11/12/2016,gun,40,M,AK
11/12/2016,gun,29,M,AZ
11/13/2016,baseball bat,38,M,PA
11/13/2016,gun,22,M,CA
11/13/2016,gun,21,M,OK
11/15/2016,vehicle,25,M,PA
11/15/2016,gun,37,M,TX
11/15/2016,knife,48,M,CA
11/16/2016,machete,37,M,CA
11/16/2016,gun,56,M,CA
11/18/2016,gun,35,M,FL
11/18/2016,machete,25,M,FL
11/18/2016,gun,25,M,GA
11/18/2016,machete,48,M,AZ
11/18/2016,gun,26,M,IL
11/19/2016,vehicle,29,M,CA
11/19/2016,knife,15,M,CA
11/19/2016,gun,55,M,OK
11/19/2016,baton,21,M,NY
11/20/2016,gun,24,M,TX
11/20/2016,gun,18,M,MO
11/21/2016,gun,19,M,MO
11/21/2016,knife,27,M,CA
11/22/2016,gun,45,M,CA
11/22/2016,gun,36,M,TX
11/22/2016,undetermined,34,M,NC
11/22/2016,gun,23,M,NJ
11/23/2016,knife,43,M,FL
11/23/2016,knife,43,M,MI
11/23/2016,undetermined,19,M,IL
11/24/2016,knife,45,M,TN
11/25/2016,gun,37,M,IL
11/25/2016,gun,23,M,MS
11/25/2016,unarmed,26,M,AZ
11/26/2016,undetermined,20,M,AZ
11/27/2016,blunt object,50,M,KS
11/27/2016,gun,59,M,ME
11/27/2016,gun,33,M,IL
11/27/2016,gun,48,M,LA
11/28/2016,knife,18,M,OH
11/28/2016,gun,23,M,CA
11/28/2016,vehicle,41,M,NC
11/29/2016,gun,41,M,MA
11/29/2016,rock,55,M,TX
11/29/2016,knife,29,M,IN
11/29/2016,undetermined,31,M,SC
11/30/2016,gun,25,M,MO
12/1/2016,gun,38,M,WA
12/1/2016,gun,37,M,AZ
12/1/2016,gun,83,M,AR
12/2/2016,crowbar,22,M,KY
12/2/2016,gun,33,M,AL
12/2/2016,undetermined,36,M,NM
12/3/2016,gun,38,M,LA
12/4/2016,undetermined,26,M,OH
12/4/2016,gun,29,M,IN
12/6/2016,gun,55,M,KS
12/6/2016,gun,47,M,FL
12/6/2016,gun,52,M,OR
12/6/2016,oar,49,M,FL
12/7/2016,knife,31,M,NC
12/7/2016,undetermined,37,M,TX
12/7/2016,gun,37,M,TX
12/7/2016,undetermined,36,M,IA
12/7/2016,knife,20,M,PA
12/8/2016,gun,37,M,TX
12/9/2016,vehicle,30,M,HI
12/9/2016,gun,37,M,NC
12/9/2016,machete and gun,35,M,PA
12/10/2016,gun,35,M,SC
12/10/2016,knife,36,M,IN
12/11/2016,knife,53,M,NE
12/11/2016,vehicle,39,M,WV
12/11/2016,knife,30,M,TX
12/11/2016,toy weapon,44,F,AZ
12/11/2016,gun,24,M,KS
12/12/2016,unarmed,73,M,CA
12/12/2016,gun,31,M,GA
12/12/2016,gun,28,M,PA
12/13/2016,gun,18,M,MD
12/13/2016,gun,32,M,GA
12/15/2016,gun,60,M,CA
12/16/2016,gun,36,M,OR
12/17/2016,knife,48,M,TN
12/17/2016,gun,33,M,CA
12/17/2016,gun,44,M,WA
12/18/2016,undetermined,20,M,CA
12/18/2016,gun,37,M,WA
12/18/2016,gun,72,M,OK
12/19/2016,undetermined,52,M,NC
12/20/2016,gun,31,M,CA
12/20/2016,knife,46,M,TX
12/20/2016,knife,37,M,CA
12/21/2016,tire iron,31,M,OK
12/21/2016,gun,25,M,OK
12/21/2016,vehicle,46,M,IN
12/21/2016,vehicle,38,M,NV
12/21/2016,knife,25,M,AR
12/21/2016,knife,37,M,CA
12/21/2016,gun,27,M,AL
12/21/2016,gun,24,M,CA
12/22/2016,gun,19,M,MD
12/23/2016,undetermined,31,M,OR
12/23/2016,crossbow,55,M,FL
12/23/2016,vehicle,37,M,CA
12/24/2016,gun,18,M,NC
12/24/2016,knife,53,F,FL
12/24/2016,gun,37,M,AL
12/24/2016,scissors,48,M,CA
12/25/2016,knife,29,M,DC
12/25/2016,gun,30,M,OR
12/25/2016,gun,33,M,AR
12/25/2016,gun,61,M,FL
12/27/2016,gun,35,M,CA
12/27/2016,gun,71,F,TX
12/27/2016,undetermined,41,M,IL
12/27/2016,gun,36,M,TX
12/28/2016,undetermined,28,M,TN
12/29/2016,gun,52,M,MD
12/30/2016,gun,21,M,FL
12/30/2016,gun,37,M,FL
12/30/2016,knife,31,M,AZ
12/31/2016,unarmed,33,M,MN
12/31/2016,knife,46,M,FL
12/31/2016,gun,32,M,PA
