date,weapon,age,gender,state
3/7/2016,gun,49,M,NY
3/7/2016,knife,45,M,CA
3/7/2016,undetermined,45,M,KS
3/7/2016,gun,42,M,MT
3/7/2016,vehicle,41,M,NM
3/8/2016,toy weapon,27,M,FL
3/10/2016,toy weapon,37,M,MS
3/10/2016,toy weapon,22,M,NV
3/10/2016,gun,21,M,CA
3/10/2016,gun,50,M,TX
3/10/2016,vehicle,23,M,CO
3/11/2016,gun,25,M,VA
3/11/2016,gun,51,M,KS
3/11/2016,knife,46,M,IL
3/11/2016,gun,23,M,CA
3/12/2016,unarmed,37,M,TX
3/12/2016,Taser,20,M,TX
3/12/2016,gun,43,M,NC
3/13/2016,vehicle,45,M,CA
3/13/2016,unarmed,16,M,TX
3/13/2016,unarmed,30,M,TN
3/13/2016,gun,26,M,AL
3/13/2016,gun,24,M,PA
3/13/2016,hammer,38,F,WA
3/13/2016,gun,28,M,MD
3/14/2016,gun,29,M,IL
3/15/2016,gun,34,M,KY
3/15/2016,knife,38,M,IN
3/15/2016,gun,43,M,TX
3/16/2016,unarmed,23,M,CA
3/16/2016,gun,33,M,TX
3/16/2016,gun,40,M,NC
3/17/2016,gun,38,M,MN
3/17/2016,gun,53,M,FL
3/17/2016,gun,29,M,TX
3/17/2016,gun,30,M,TX
3/18/2016,gun,49,M,CA
3/18/2016,gun,60,M,ID
3/19/2016,toy weapon,25,F,VA
3/19/2016,undetermined,24,M,LA
3/19/2016,gun,21,M,IL
3/19/2016,gun,23,M,KY
3/20/2016,knife,61,M,VA
3/20/2016,gun,54,M,PA
3/20/2016,gun,62,M,IN
3/20/2016,toy weapon,16,M,FL
3/21/2016,knife,76,M,VT
3/21/2016,toy weapon,25,M,CT
3/21/2016,gun,28,M,PA
3/22/2016,pick-axe,25,M,FL
3/22/2016,vehicle,33,M,VA
3/23/2016,gun,51,M,CO
3/23/2016,gun,34,M,CA
3/23/2016,gun,30,M,TN
3/24/2016,knife,44,M,MA
3/24/2016,toy weapon,24,M,RI
3/24/2016,gun,29,M,CA
3/24/2016,gun and knife,48,M,CO
3/24/2016,gun,19,M,NM
3/24/2016,gun,22,M,MO
3/26/2016,meat cleaver,39,M,MA
3/26/2016,gun,36,M,VA
3/26/2016,gun,55,M,SC
3/26/2016,gun,46,M,FL
3/27/2016,knife,34,M,MO
3/27/2016,scissors,27,F,AZ
3/27/2016,gun,33,M,NM
3/27/2016,gun,18,M,NC
3/27/2016,gun,33,M,TX
3/29/2016,flashlight,46,M,CA
3/29/2016,gun,51,M,SC
3/29/2016,gun,50,F,MN
3/30/2016,gun,33,M,CA
3/30/2016,gun,25,M,AZ
3/30/2016,gun,52,M,GA
3/31/2016,gun,31,M,NV
3/31/2016,gun,18,M,MD
3/31/2016,gun,43,M,MD
3/31/2016,gun,34,M,VA
4/1/2016,shovel,65,M,TX
4/1/2016,gun,37,M,TX
4/2/2016,gun,30,M,IN
4/3/2016,undetermined,48,M,LA
4/3/2016,unknown weapon,36,F,AL
4/3/2016,gun,25,M,TX
4/3/2016,Taser,69,M,WI
4/4/2016,knife,50,M,MN
4/5/2016,knife,52,M,MA
4/5/2016,unarmed,44,M,IN
4/6/2016,ax,60,M,OH
4/6/2016,ax,40,F,TN
4/6/2016,knife,20,M,CA
4/7/2016,knife,45,M,CA
4/7/2016,vehicle,44,M,NE
4/8/2016,knife,40,M,CA
4/8/2016,hatchet,25,F,WI
